label,x,y
FC5,-0.366,0.191
FC3,-0.234,0.172
FC1,-0.115,0.162
FCz,0,0.158
FC2,0.115,0.162
FC4,0.234,0.172
FC6,0.366,0.191
C5,-0.382,0
C3,-0.244,0
C1,-0.119,0
Cz,0,0
C2,0.119,0
C4,0.244,0
C6,0.382,0
CP5,-0.366,-0.191
CP3,-0.234,-0.172
CP1,-0.115,-0.162
CPz,0,-0.158
CP2,0.115,-0.162
CP4,0.234,-0.172
CP6,0.366,-0.191
Fp1,-0.168,0.691
Fpz,0,0.727
Fp2,0.168,0.691
AF7,-0.32,0.588
AF3,-0.18,0.539
AFz,0,0.509
AF4,0.18,0.539
AF8,0.32,0.588
F7,-0.441,0.427
F5,-0.318,0.377
F3,-0.206,0.347
F1,-0.101,0.33
Fz,0,0.3249
F2,0.101,0.33
F4,0.206,0.347
F6,0.318,0.377
F8,0.441,0.427
FT7,-0.518,0.224
FT8,0.518,0.224
T7,-0.545,0
T8,0.545,0
T9,-0.75,0
T10,0.75,0
TP7,-0.518,-0.224
TP8,0.518,-0.224
P7,-0.441,-0.427
P5,-0.318,-0.377
P3,-0.206,-0.347
P1,-0.101,-0.33
Pz,0,-0.325
P2,0.101,-0.33
P4,0.206,-0.347
P6,0.318,-0.377
P8,0.441,-0.427
PO7,-0.32,-0.588
PO3,-0.18,-0.539
POz,0,-0.509
PO4,0.18,-0.539
PO8,0.32,-0.588
O1,-0.168,-0.691
Oz,0,-0.727
O2,0.168,-0.691
Iz,0,-1
